Type,word,Duration,ToHNeither,ToHObject,ToHSubject,ToHWeak,ToHStrict
SS,disturbed,3.042553191,0.15,0.05,0.8,0.941176471,0.8
SS,elated,2.936170213,0.3,0.1,0.6,0.857142857,0.6
SS,electrified,2.744680851,0.35,0.05,0.6,0.923076923,0.6
SS,embarrassed,2.936170213,0.2,0.1,0.7,0.875,0.7
SS,emboldened,3.191489362,0.25,0.1,0.65,0.866666667,0.65
SS,enchanted,3.765957447,0.3,0.1,0.6,0.857142857,0.6
SS,engrossed,2.85106383,0.25,0.2,0.55,0.733333333,0.55
SS,enlightened,3.29787234,0.2,0.15,0.65,0.8125,0.65
SS,enlivened,3.085106383,0.35,0.05,0.6,0.923076923,0.6
SS,enraged,2.680851064,0.15,0.1,0.75,0.882352941,0.75
SS,enraptured,3.70212766,0.15,0.1,0.75,0.882352941,0.75
SS,entertained,2.978723404,0.2,0.05,0.75,0.9375,0.75
SS,enthralled,3.234042553,0.3,0.05,0.65,0.928571429,0.65
SS,enthused,2.787234043,0.25,0.1,0.65,0.866666667,0.65
SS,entranced,2.936170213,0.3,0.05,0.65,0.928571429,0.65
SS,exasperated,2.680851064,0.2,0.05,0.75,0.9375,0.75
SS,excited,2.638297872,0.15,0.15,0.7,0.823529412,0.7
SS,exhausted,3.021276596,0.15,0.05,0.8,0.941176471,0.8
SS,exhilarated,2.723404255,0.25,0.1,0.65,0.866666667,0.65
SS,fascinated,3.446808511,0.45,0.2,0.35,0.636363636,0.35
SS,fazed,2.340425532,0.3,0.05,0.65,0.928571429,0.65
SS,flabbergasted,2.085106383,0.2,0.1,0.7,0.875,0.7
SS,floored,2.106382979,0.25,0.15,0.6,0.8,0.6
SS,flustered,2.063829787,0.2,0.1,0.7,0.875,0.7
SS,frustrated,3.042553191,0.2,0.15,0.65,0.8125,0.65
SS,galled,2.787234043,0.2,0.05,0.75,0.9375,0.75
SS,galvanized,2.978723404,0.2,0.05,0.75,0.9375,0.75
SS,gratified,3.127659574,0.35,0.1,0.55,0.846153846,0.55
SS,grieved,5.510638298,0.25,0.2,0.55,0.733333333,0.55
SS,haunted,5.680851064,0.2,0.15,0.65,0.8125,0.65
SS,heartened,3.021276596,0.3,0.1,0.6,0.857142857,0.6
SS,horrified,2.489361702,0.2,0.1,0.7,0.875,0.7
SS,humbled,3.021276596,0.25,0.1,0.65,0.866666667,0.65
SS,humiliated,2.914893617,0.1,0.05,0.85,0.944444444,0.85
SS,hypnotized,2.446808511,0.25,0.05,0.7,0.933333333,0.7
SS,impressed,3.425531915,0.3,0.1,0.6,0.857142857,0.6
SS,incensed,2.723404255,0.1,0.15,0.75,0.833333333,0.75
SS,infuriated,2.936170213,0.1,0.05,0.85,0.944444444,0.85
SS,inspired,4.723404255,0.35,0.05,0.6,0.923076923,0.6
SS,interested,3.85106383,0.35,0.15,0.5,0.769230769,0.5
SS,intimidated,3.574468085,0.1,0.05,0.85,0.944444444,0.85
SS,intoxicated,2.957446809,0.25,0.15,0.6,0.8,0.6
SS,intrigued,3.276595745,0.35,0.1,0.55,0.846153846,0.55
SS,invigorated,3.212765957,0.3,0.05,0.65,0.928571429,0.65
SS,irked,2.489361702,0.25,0.2,0.55,0.733333333,0.55
SS,irritated,2.893617021,0.25,0.15,0.6,0.8,0.6
SS,jollified,2.723404255,0.2,0.05,0.75,0.9375,0.75
SS,maddened,3.021276596,0.2,0.15,0.65,0.8125,0.65
SS,mesmerized,2.872340426,0.2,0.1,0.7,0.875,0.7
SS,miffed,2.255319149,0.15,0.05,0.8,0.941176471,0.8
SS,mollified,2.595744681,0.2,0.05,0.75,0.9375,0.75
SS,mortified,2.957446809,0.15,0.05,0.8,0.941176471,0.8
SS,mystified,3.212765957,0.4,0.05,0.55,0.916666667,0.55
SS,nauseated,2.808510638,0.35,0.1,0.55,0.846153846,0.55
SS,numbed,3.063829787,0.35,0.05,0.6,0.923076923,0.6
SS,offended,3.170212766,0.1,0.05,0.85,0.944444444,0.85
SS,outraged,3.234042553,0.1,0.1,0.8,0.888888889,0.8
SS,overawed,2.893617021,0.45,0.05,0.5,0.909090909,0.5
SS,overwhelmed,2.680851064,0.2,0.1,0.7,0.875,0.7
SS,pacified,2.829787234,0.1,0.1,0.8,0.888888889,0.8
SS,peeved,2.829787234,0.25,0.05,0.7,0.933333333,0.7
SS,perplexed,2.595744681,0.3,0.05,0.65,0.928571429,0.65
SS,perturbed,2.787234043,0.3,0.1,0.6,0.857142857,0.6
SS,piqued,2.723404255,0.1,0.1,0.8,0.888888889,0.8
SS,placated,2.808510638,0.1,0.1,0.8,0.888888889,0.8
SS,plagued,4.574468085,0.2,0.1,0.7,0.875,0.7
SS,pleased,3.234042553,0.2,0.1,0.7,0.875,0.7
SS,preoccupied,3.212765957,0.25,0.15,0.6,0.8,0.6
SS,puzzled,2.531914894,0.45,0.05,0.5,0.909090909,0.5
SS,rankled,2.872340426,0.35,0.1,0.55,0.846153846,0.55
SS,reassured,2.617021277,0.15,0.15,0.7,0.823529412,0.7
SS,refreshed,2.744680851,0.4,0.1,0.5,0.833333333,0.5
SS,relaxed,2.829787234,0.25,0.1,0.65,0.866666667,0.65
SS,repelled,3.787234043,0.1,0.2,0.7,0.777777778,0.7
SS,repulsed,4.021276596,0.4,0.2,0.4,0.666666667,0.4
SS,revitalized,3.042553191,0.25,0.15,0.6,0.8,0.6
SS,revolted,3.680851064,0.35,0.15,0.5,0.769230769,0.5
SS,riled,2.574468085,0.1,0.1,0.8,0.888888889,0.8
SS,ruffled,2.468085106,0.25,0.05,0.7,0.933333333,0.7
SS,saddened,3.638297872,0.25,0.1,0.65,0.866666667,0.65
SS,satisfied,3.127659574,0.15,0.15,0.7,0.823529412,0.7
SS,scandalized,4.170212766,0.1,0.05,0.85,0.944444444,0.85
SS,scared,2.404255319,0.25,0.1,0.65,0.866666667,0.65
SS,solaced,2.85106383,0.2,0.1,0.7,0.875,0.7
SS,spellbound,3.106382979,0.25,0.05,0.7,0.933333333,0.7
SS,spooked,1.957446809,0.2,0.05,0.75,0.9375,0.75
SS,startled,1.29787234,0.25,0.05,0.7,0.933333333,0.7
SS,stunned,1.936170213,0.25,0.1,0.65,0.866666667,0.65
SS,stupefied,2.127659574,0.3,0.1,0.6,0.857142857,0.6
SS,surprised,1.723404255,0.25,0.15,0.6,0.8,0.6
SS,tantalized,2.787234043,0.2,0.1,0.7,0.875,0.7
SS,terrorized,3.893617021,0.05,0.05,0.9,0.947368421,0.9
SS,threatened,2.680851064,0.1,0.05,0.85,0.944444444,0.85
SS,thrilled,2.680851064,0.2,0.05,0.75,0.9375,0.75
SS,titillated,2.553191489,0.2,0.05,0.75,0.9375,0.75
SS,tormented,4.170212766,0,0.1,0.9,0.9,0.9
SS,troubled,3.446808511,0.25,0.2,0.55,0.733333333,0.55
SS,unnerved,2.765957447,0.3,0.2,0.5,0.714285714,0.5
SS,unsettled,2.70212766,0.35,0.15,0.5,0.769230769,0.5
SS,uplifted,3.106382979,0.25,0.1,0.65,0.866666667,0.65
SS,upset,2.957446809,0.2,0.05,0.75,0.9375,0.75
SS,vexed,2.808510638,0.15,0.2,0.65,0.764705882,0.65
SS,wearied,3.446808511,0.3,0.1,0.6,0.857142857,0.6
SS,worried,4,0.3,0.15,0.55,0.785714286,0.55
SS,wounded,3.978723404,0.1,0.05,0.85,0.944444444,0.85
SS,wowed,2.510638298,0.15,0.1,0.75,0.882352941,0.75
